,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.56,0.6,0.58
query_result,stateless,0.62,0.62,0.56
recommendation,stateful,0.9668,0.983,0.945
recommendation,stateless,0.9556,0.9784,0.9598

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.6,0.64,0.62
query_result,stateless,0.62,0.54,0.62
recommendation,stateful,0.9723,0.9828,0.9598
recommendation,stateless,0.9656,0.9756,0.9739

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.78,0.82,0.78
query_result,stateless,0.78,0.82,0.76
recommendation,stateful,0.9706,0.9824,0.9756
recommendation,stateless,0.9831,0.9812,0.9772

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.78,0.82,0.78
query_result,stateless,0.78,0.78,0.72
recommendation,stateful,0.9761,0.9869,0.9717
recommendation,stateless,0.9778,0.9773,0.9789

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.78,0.76,0.76
query_result,stateless,0.78,0.78,0.78
recommendation,stateful,0.9843,0.993,0.9767
recommendation,stateless,0.9849,0.986,0.9818

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.8,0.84,0.8
query_result,stateless,0.8,0.8,0.82
recommendation,stateful,0.9811,0.996,0.9799
recommendation,stateless,0.9847,0.9791,0.9811

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.84,0.82
query_result,stateless,0.84,0.84,0.82
recommendation,stateful,0.9884,0.9881,0.9784
recommendation,stateless,0.989,0.9826,0.9852

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.86,0.86
query_result,stateless,0.84,0.84,0.86
recommendation,stateful,0.9854,0.995,0.9787
recommendation,stateless,0.9829,0.9835,0.9863

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.9,0.84,0.86
query_result,stateless,0.86,0.84,0.86
recommendation,stateful,0.9885,0.9961,0.9841
recommendation,stateless,0.9833,0.9894,0.9844

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.82,0.86,0.82
query_result,stateless,0.82,0.84,0.78
recommendation,stateful,0.9928,0.9941,0.9872
recommendation,stateless,0.9908,0.9888,0.991

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.92,0.9,0.92
query_result,stateless,0.9,0.88,0.9
recommendation,stateful,0.9833,0.9966,0.9885
recommendation,stateless,0.9889,0.9858,0.9905

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.94,0.92,0.92
query_result,stateless,0.96,0.94,0.94
recommendation,stateful,0.991,0.9926,0.9899
recommendation,stateless,0.98,0.9892,0.9875

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.88,0.88
query_result,stateless,0.9,0.88,0.88
recommendation,stateful,0.9878,0.9855,0.9875
recommendation,stateless,0.984,0.9849,0.9865

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.92,0.94,0.94
query_result,stateless,0.94,0.94,0.94
recommendation,stateful,0.9886,0.9932,0.9819
recommendation,stateless,0.9946,0.9797,0.9903

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.9,0.92,0.92
query_result,stateless,0.9,0.9,0.9
recommendation,stateful,0.9865,0.9966,0.9926
recommendation,stateless,0.9811,0.9857,0.9899

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.9,0.88
query_result,stateless,0.88,0.88,0.88
recommendation,stateful,0.9854,0.9966,0.9797
recommendation,stateless,0.9899,0.9917,0.9919

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.84,0.84
query_result,stateless,0.86,0.86,0.86
recommendation,stateful,0.9818,0.9951,0.9854
recommendation,stateless,0.9826,0.9903,0.9875

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.86,0.82
query_result,stateless,0.84,0.88,0.86
recommendation,stateful,0.9845,0.9896,0.9868
recommendation,stateless,0.9882,0.9896,0.9882

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.86,0.88
query_result,stateless,0.88,0.88,0.88
recommendation,stateful,0.9806,0.9893,0.9875
recommendation,stateless,0.9907,0.9879,0.9896

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.86,0.84
query_result,stateless,0.84,0.84,0.86
recommendation,stateful,0.9849,0.9946,0.9885
recommendation,stateless,0.9921,0.9903,0.9905

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.84,0.84,0.88
query_result,stateless,0.84,0.86,0.86
recommendation,stateful,0.9926,0.9938,0.9892
recommendation,stateless,0.9896,0.9857,0.9912

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.84,0.82,0.84
query_result,stateless,0.84,0.86,0.84
recommendation,stateful,0.9875,0.9953,0.9882
recommendation,stateless,0.9842,0.9892,0.9899

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.84,0.84
query_result,stateless,0.86,0.86,0.88
recommendation,stateful,0.9871,0.9932,0.997
recommendation,stateless,0.99,0.9912,0.9864

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.9,0.92,0.92
query_result,stateless,0.9,0.92,0.92
recommendation,stateful,0.9838,0.9846,0.9963
recommendation,stateless,0.9956,0.9917,0.989

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.88,0.88
query_result,stateless,0.9,0.88,0.9
recommendation,stateful,0.9921,0.9957,0.9914
recommendation,stateless,0.9904,0.9904,0.9829

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.9,0.9
query_result,stateless,0.9,0.9,0.9
recommendation,stateful,0.9902,0.9953,0.9949
recommendation,stateless,0.9963,0.9875,0.9894

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.9,0.86,0.88
query_result,stateless,0.88,0.88,0.88
recommendation,stateful,0.9919,0.9912,0.9939
recommendation,stateless,0.9864,0.9912,0.9926

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.88,0.88
query_result,stateless,0.88,0.88,0.88
recommendation,stateful,0.9941,0.9939,0.9962
recommendation,stateless,0.9912,0.9904,0.9917

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.9,0.86
query_result,stateless,0.86,0.86,0.86
recommendation,stateful,0.9947,0.9883,0.9953
recommendation,stateless,0.9941,0.9886,0.9947

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.9,0.88,0.9
query_result,stateless,0.92,0.88,0.92
recommendation,stateful,0.9919,0.9903,0.9925
recommendation,stateless,0.9903,0.9911,0.994

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.88,0.88
query_result,stateless,0.92,0.88,0.86
recommendation,stateful,0.9961,0.9922,0.9875
recommendation,stateless,0.9938,0.9902,0.9935

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.88,0.88
query_result,stateless,0.88,0.88,0.86
recommendation,stateful,0.996,0.9944,0.9935
recommendation,stateless,0.982,0.9922,0.9927

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.9,0.88
query_result,stateless,0.88,0.9,0.88
recommendation,stateful,0.9953,0.9933,0.993
recommendation,stateless,0.9879,0.9932,0.9953

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.88,0.86
query_result,stateless,0.86,0.86,0.84
recommendation,stateful,0.9961,0.9983,0.9961
recommendation,stateless,0.9924,0.9955,0.9922

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.9,0.88
query_result,stateless,0.88,0.86,0.86
recommendation,stateful,0.9945,0.9983,0.9922
recommendation,stateless,0.9886,0.9909,0.9945

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.86,0.88
query_result,stateless,0.88,0.86,0.88
recommendation,stateful,0.9952,0.9933,0.9944
recommendation,stateless,0.9945,0.9945,0.9927

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.86,0.88,0.88
query_result,stateless,0.88,0.86,0.88
recommendation,stateful,0.9922,0.9974,0.9966
recommendation,stateless,0.9883,0.9958,0.9914

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.92,0.92
query_result,stateless,0.9,0.92,0.92
recommendation,stateful,0.9883,0.9905,0.9922
recommendation,stateless,0.9919,0.9917,0.9942

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.92,0.9
query_result,stateless,0.9,0.9,0.88
recommendation,stateful,0.9948,0.9948,0.9911
recommendation,stateless,0.99,0.9905,0.9897

,,the_donald,enoughtrumpspam,blank
query_result,stateful,0.88,0.88,0.88
query_result,stateless,0.88,0.88,0.88
recommendation,stateful,0.994,0.9946,0.9957
recommendation,stateless,0.9917,0.9933,0.9888

